"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","311-1360-1-ND","CC0603KRX7R8BB103","CAP CER 10000PF 25V X7R 0603","","1","0","0.10000","0.10"
"2","1","399-C0805C106K8PAC7800CT-ND","C0805C106K8PAC7800","CAP CER 10UF 10V X5R 0805","","1","0","0.14000","0.14"
"3","2","399-9722-1-ND","T491B107M010AT","CAP TANT 100UF 20% 10V 1411","","2","0","1.15000","2.30"
"4","1","296-NE555P-ND","NE555P","IC OSC SINGLE TIMER 100KHZ 8-DIP","","1","0","0.48000","0.48"
"5","1","WM50016-03-ND","0022284033","CONN HEADER VERT 3POS 2.54MM","","1","0","0.27000","0.27"
"6","1","P5.60KFCT-ND","ERJ-8ENF5601V","RES SMD 5.6K OHM 1% 1/4W 1206","","1","0","0.19000","0.19"
"7","1","311-15.0KHRCT-ND","RC0603FR-0715KL","RES 15K OHM 1% 1/10W 0603","","1","0","0.10000","0.10"
"8","1","A102895CT-ND","CPF0402B511RE1","RES SMD 511 OHM 0.1% 1/16W 0402","","1","0","0.62000","0.62"
"9","1","A110539CT-ND","1-2176092-4","RES SMD 909 OHM 0.1% 1/4W 0805","","1","0","0.66000","0.66"
"10","1","445-2527-ND","PS1720P02","BUZZER PIEZO 3V 17MM TH","","1","0","0.83000","0.83"
"11","1","450-1521-ND","4-1825136-4","SWITCH TOGGLE SPDT 0.4VA 20V","","1","0","5.51000","5.51"
